playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
stewabr01,2025,2,LAN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stewadj01,2023,1,NYN,NL,58,160,21,39,9,0,11,26,1,1,15,56,0,7,1,1,3
stewadj01,2024,1,NYN,NL,74,158,16,28,4,0,5,19,1,0,31,48,0,4,0,1,5
stewasa02,2025,1,CIN,NL,18,55,11,14,1,0,5,8,0,0,3,15,0,0,0,0,1
stockro01,2025,1,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stonega01,2023,1,LAN,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stonega01,2024,1,LAN,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
storytr01,2023,1,BOS,AL,43,158,12,32,9,0,3,14,10,3,9,55,0,1,0,0,2
storytr01,2024,1,BOS,AL,26,94,8,24,7,0,2,10,6,3,11,33,2,1,0,0,2
storytr01,2025,1,BOS,AL,157,612,91,161,29,0,25,96,31,1,33,176,1,7,1,1,3
stottbr01,2023,1,PHI,NL,151,585,78,164,32,2,15,62,31,3,39,100,1,7,1,8,10
stottbr01,2024,1,PHI,NL,148,506,65,124,19,2,11,57,32,3,53,93,1,3,0,9,9
stottbr01,2025,1,PHI,NL,147,499,66,128,22,3,13,66,24,5,54,91,1,1,2,4,4
stoudle01,2023,1,CIN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stoweky01,2023,1,BAL,AL,14,30,1,2,0,0,0,0,0,0,3,12,0,0,0,0,1
stoweky01,2024,1,BAL,AL,19,36,3,11,4,0,1,9,0,1,0,13,0,0,0,1,0
stoweky01,2024,2,MIA,NL,50,156,12,29,7,2,2,15,0,0,13,61,0,3,0,0,2
stoweky01,2025,1,MIA,NL,117,399,61,115,21,3,25,73,5,1,48,125,3,5,1,4,6
strahma01,2023,1,PHI,NL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strahma01,2024,1,PHI,NL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strahma01,2025,1,PHI,NL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratch01,2023,1,SLN,NL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratch01,2023,2,TEX,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratch01,2024,1,KCA,AL,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratch01,2025,1,KCA,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratch01,2025,2,LAN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strathu01,2023,1,PIT,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strathu01,2024,1,PIT,NL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strathu01,2025,1,PIT,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strathu01,2025,2,ATL,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strawmy01,2023,1,CLE,AL,147,462,52,110,18,3,1,29,20,6,42,97,0,2,6,6,10
strawmy01,2024,1,CLE,AL,7,4,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0
strawmy01,2025,1,TOR,AL,137,267,51,70,14,1,4,32,12,1,19,50,0,1,11,1,5
strichu01,2024,1,LAA,AL,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strichu01,2025,1,LAA,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stridsp01,2023,1,ATL,NL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stridsp01,2024,1,ATL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stridsp01,2025,1,ATL,NL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stripro01,2023,1,SFN,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stripro01,2024,1,OAK,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stromma01,2023,1,CHN,NL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stromma01,2024,1,NYA,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stromma01,2025,1,NYA,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strowka01,2025,1,BAL,AL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strzepe01,2023,1,MIL,NL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strzepe01,2023,2,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strzepe01,2024,1,CLE,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubbcj01,2025,1,WAS,NL,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubbga01,2023,1,PHI,NL,41,113,15,23,4,1,1,12,2,0,9,29,0,2,1,0,0
stubbga01,2024,1,PHI,NL,56,164,18,34,4,1,1,11,5,0,17,50,0,4,0,1,0
stubbga01,2025,1,PHI,NL,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suareal01,2024,1,BAL,AL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suareal01,2025,1,BAL,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarean01,2023,1,SLN,NL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suareeu01,2023,1,SEA,AL,162,598,68,139,29,0,22,96,2,1,70,214,0,15,0,11,10
suareeu01,2024,1,ARI,NL,158,571,90,146,28,2,30,101,2,1,49,176,0,9,0,11,10
suareeu01,2025,1,ARI,NL,106,387,64,96,19,0,36,87,1,0,29,117,1,15,0,6,7
suareeu01,2025,2,SEA,AL,53,201,27,38,9,0,13,31,3,1,17,79,1,1,0,1,4
suarejo01,2023,1,LAA,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarejo01,2024,1,LAA,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarejo01,2025,1,ATL,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarera01,2023,1,PHI,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarera01,2024,1,PHI,NL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarera01,2025,1,PHI,NL,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarero01,2023,1,SDN,NL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarero01,2024,1,SDN,NL,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarero01,2025,1,SDN,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suerowa01,2023,1,LAN,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suerowa01,2024,1,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suerowa01,2025,1,ATL,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suganto01,2025,1,BAL,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sullibr01,2023,1,SDN,NL,33,81,7,17,3,0,1,6,0,0,4,19,0,0,0,1,1
sullibr01,2024,1,SDN,NL,7,16,1,3,0,0,1,2,0,0,1,4,0,0,0,0,0
sullibr01,2025,1,PIT,NL,3,6,1,1,0,0,0,2,0,0,1,3,0,1,0,1,0
sulseco01,2023,1,ARI,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulseco01,2024,1,NYN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulseco01,2024,2,TBA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulseco01,2025,1,TBA,AL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suterbr01,2023,1,COL,NL,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suterbr01,2024,1,CIN,NL,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suterbr01,2025,1,CIN,NL,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suwinja01,2023,1,PIT,NL,144,447,63,100,21,2,26,74,13,2,75,172,2,6,0,6,2
suwinja01,2024,1,PIT,NL,88,247,29,45,8,0,9,26,9,1,27,79,2,1,1,1,3
suwinja01,2025,1,PIT,NL,59,150,15,22,7,0,3,10,7,1,24,57,1,4,0,0,1
suzukse01,2023,1,CHN,NL,138,515,75,147,31,6,20,74,6,7,59,130,3,2,0,7,8
suzukse01,2024,1,CHN,NL,132,512,74,145,27,6,21,73,16,6,63,160,3,6,0,4,6
suzukse01,2025,1,CHN,NL,151,571,75,140,31,3,32,103,5,2,71,164,1,1,0,8,13
svansma01,2025,1,SLN,NL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swansda01,2023,1,CHN,NL,147,565,81,138,25,3,22,80,9,1,66,154,0,5,0,2,9
swansda01,2024,1,CHN,NL,149,534,82,129,27,2,16,66,19,3,54,144,2,2,0,3,7
swansda01,2025,1,CHN,NL,159,590,84,144,24,3,24,77,20,3,47,168,1,2,1,5,9
swanser01,2023,1,TOR,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swanser01,2024,1,TOR,AL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swanser01,2025,1,TOR,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweentr01,2024,1,DET,AL,36,110,11,24,5,0,4,17,2,0,7,32,0,1,0,1,3
sweentr01,2025,1,DET,AL,118,296,36,58,6,2,6,32,3,1,26,92,0,0,0,4,2
sweetde01,2023,1,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweetde01,2023,2,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syndeno01,2023,1,LAN,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syndeno01,2023,2,CLE,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
